"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3591,1796,1036.77673585011,1796,1796,1331.3748,1,3591,3590,0,-1.20100255269069,17.301252363148
"WC",2,3591,142.485937064884,83.6921421813482,201,142.813435433345,63.7518,30,509,479,-0.127655885673594,-1.52130227576489,1.39661589870137
"RC6",3,3591,3.81465768866611,3.11969673971109,3.01722,3.45200958231813,2.478803418,-2.7027,27.27272,29.97542,1.39396583639269,3.18512913872359,0.0520600614615209
"RC3",4,3591,3.51108301865776,2.77234376393598,3.07694,3.28612497737557,2.413168716,-8.33334,18.46152,26.79486,0.985373701127621,2.43752291181426,0.0462635950814685
"RC2",5,3591,1.44197455583403,2.89782303184248,0.84388,1.15983959972155,1.60002192,-11.11111,20.45454,31.56565,1.33054532853017,4.46576831673885,0.048357535276426
"RC7",6,3591,3.14488959621275,3.0581473594853,2.5862,2.79646163592064,2.545075638,-8.69565,21.42855,30.1242,1.37370986258275,3.65761121483771,0.0510329537697106
"RC4",7,3591,2.10953948482317,3.56590596881533,1.81818,1.95246036547163,3.031131222,-11.42857,18.42106,29.84963,0.525652764947723,1.26293058985494,0.0595061954386381
"RC9",8,3591,2.60098263993317,2.60896555912671,2.1645,2.33051788374521,2.28201792,-6.25,18.42106,24.67106,1.208558378089,3.18859030283442,0.0435372148934278
"RC10",9,3591,2.71515301030354,3.04583014404913,2.5641,2.61652262443439,2.723284158,-11.42856,22.22222,33.65078,0.436421681537372,1.99451948799787,0.0508274097549735
"RC5",10,3591,2.31733300194932,3.08610446490066,1.80995,1.99981205708319,2.683417044,-9.7561,28.20512,37.96122,1.58447882191236,6.08511087609872,0.0514994890606839
"RC1",11,3591,0.583119370648844,2.6576411538054,0,0.448143209189001,1.89268716,-11.11111,17.39128,28.50239,1.01023849862841,5.23394846297515,0.0443494907849888
"RC8",12,3591,2.52814068226121,2.59842904788692,2.24719,2.3228837382527,2.040072426,-8.69566,16.66668,25.36234,0.808802843050048,2.58484731044679,0.0433613864496719
